Timestamp,Lens Serial,Firmware Type,Firmware Version,Firmware Branch,Device ID,Max Output Current,Temperature,Current,Diopter,Mode
2025-06-12 14:26:31,ANAA8969,F,"(1, 9, 2065, 58457)",0,AKAB3816,292.84,24.25,40.04649572649573,3.605,5
2025-06-12 14:26:36,ANAA8969,F,"(1, 9, 2065, 58457)",0,AKAB3816,292.84,24.25,40.04649572649573,3.605,5
2025-06-12 14:26:41,ANAA8969,F,"(1, 9, 2065, 58457)",0,AKAB3816,292.84,24.25,40.04649572649573,3.605,5
